0,0,0,1,13,10,0,0,0,8,0,10,2,5,0,5,5,2,2,14,0,5,0,0,4,0,8,0,7,16,6,0,0,0,11,15,7,5,5,4,0,0,0,8,0,0,11,0,0,5,16,12,0,9,16,0,0,0,4,0,14,0,15,0
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,2,16,0,0,0,9,0,13,2,0,0,2,0,0,0,5,16,0,1,16,0,0,0,0,0,2,11,12,0
16,11,5,16,15,16,16,16,16,16,13,16,8,9,16,16,12,16,16,16,8,9,16,16,11,16,16,16,16,14,10,16,16,9,16,9,16,16,16,5,8,16,9,8,16,16,12,16,5,11,16,16,16,16,14,16,16,16,16,16,16,16,16,0
0,0,7,16,2,2,0,0,0,1,0,8,0,7,0,0,7,0,14,16,0,3,0,0,7,0,16,0,12,1,3,0,0,0,10,8,14,12,0,2,1,0,16,8,9,9,3,0,6,0,14,12,10,7,11,0,0,0,0,9,9,0,0,0
0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,10,9,0,0,0,0,0,0,6,2,0,0,0,0,0,1,12,0,10,0,0,6,0,7,4,0,2,0,0,0,0,0,0,13,14,12,0,0
16,14,16,16,16,16,16,16,16,16,16,16,16,16,11,16,16,16,16,16,16,11,13,15,3,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,16,16,6,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16
0,0,2,2,6,0,0,0,0,0,0,8,5,13,0,0,1,0,3,0,0,12,0,2,0,1,13,11,10,0,0,0,0,0,0,0,15,0,0,0,0,0,3,3,16,0,0,0,0,0,0,5,11,0,0,0,0,0,11,11,0,0,0,0
11,12,16,16,16,16,16,7,9,16,14,16,12,6,0,6,5,13,16,11,3,6,1,5,0,5,16,12,16,5,11,8,15,16,0,16,7,9,3,16,12,16,9,16,16,8,0,10,6,16,15,12,16,5,0,4,0,16,16,16,6,8,14,16
0,0,0,2,15,16,1,0,0,0,14,16,11,4,0,6,5,0,3,0,1,0,0,0,0,0,14,5,3,16,2,0,0,0,0,0,0,16,0,6,0,0,0,2,0,7,0,0,0,0,0,6,0,0,0,0,3,4,1,11,0,0,0,2
0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,3,6,0,0,0,1,0,16,3,0,6,4,0,0,0,9,0,0,10,5,0,0,0,0,4,3,1,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2,12,6,1,0,3,0,0,0,16,0,0,0,7,6,10,16,14,14,13,14,0,3,0,16,0,3,0,3,12,1,12,16,16,10,0,4,2,0,10,11,13,16,16,16,0,8,0,11,16,10,16,16,5,3,3,5,2,14,13,9,0
12,16,10,16,16,16,10,16,16,16,16,16,16,16,15,16,16,16,16,16,16,10,16,16,3,15,16,16,16,16,16,16,11,16,16,16,16,16,14,16,16,11,8,16,14,16,16,16,12,13,6,15,16,16,16,14,16,16,16,16,16,16,16,16
2,9,0,16,8,13,0,6,0,0,14,16,13,11,13,0,9,16,16,10,0,4,8,14,7,0,16,13,2,7,16,0,6,0,16,5,9,0,3,0,16,2,13,16,11,8,7,9,5,13,9,8,16,16,16,2,0,14,11,16,16,16,5,4
