11,1
2,13
13,11
16,11
10,6
7,9
15,4
6,10
11,8
7,10
2,9
7,3
16,9
4,9
13,5
13,7
12,10
12,9
2,3
4,10
8,3
9,6
14,10
8,14
1,9
3,5
3,13
16,16
10,11
5,4
2,1
4,13
9,12
3,2
15,11
10,10
6,11
1,6
9,4
12,11
6,1
1,14
12,12
8,16
16,5
6,14
5,10
8,13
4,15
12,7
9,16
8,4
10,12
13,13
7,8
15,8
11,14
4,11
1,7
9,11
1,3
4,16
1,13
14,13
2,7
3,15
14,1
11,13
4,1
14,6
4,6
5,15
3,11
15,7
16,15
13,12
7,15
3,8
5,11
3,1
15,10
7,5
3,4
15,2
12,3
9,8
13,14
10,15
12,14
9,5
12,6
1,11
8,11
5,12
9,10
5,6
14,3
15,14
6,4
6,3
2,4
14,8
2,8
16,1
7,4
15,9
1,1
10,4
7,13
10,7
4,7
11,10
13,4
14,9
10,16
5,9
8,5
14,16
14,5
6,7
1,15
3,3
13,10
15,3
2,10
4,2
15,1
9,15
